code_module,code_presentation,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,total_vle_used,total_clicks,total_assessments,attempted_assessment,non_attempted_assessment,average_score
AAA,2013J,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,-59.0,,52.0,1102.0,5.0,5.0,0.0,78.6
AAA,2013J,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,-68.0,,98.0,3388.0,5.0,5.0,0.0,76.0
AAA,2013J,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,-67.0,,73.0,2737.0,5.0,5.0,0.0,71.6
AAA,2013J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,-180.0,96.0,25.0,171.0,2.0,2.0,0.0,67.0
AAA,2013J,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,-95.0,,63.0,1053.0,5.0,5.0,0.0,55.6
AAA,2013J,M,Ireland,HE Qualification,,35-55,0,60,N,Pass,-130.0,,81.0,2327.0,5.0,5.0,0.0,80.4
AAA,2013J,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,N,Fail,-50.0,,23.0,116.0,4.0,4.0,0.0,48.5
AAA,2013J,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,-107.0,,100.0,2992.0,5.0,5.0,0.0,66.0
AAA,2013J,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,-27.0,,44.0,680.0,5.0,5.0,0.0,70.4
AAA,2013J,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Pass,-31.0,,60.0,1494.0,5.0,5.0,0.0,70.8
AAA,2013J,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn,-170.0,72.0,26.0,339.0,1.0,1.0,0.0,74.0
AAA,2013J,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass,-107.0,,91.0,2839.0,5.0,5.0,0.0,60.6
AAA,2013J,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-62.0,,47.0,744.0,5.0,5.0,0.0,68.4
AAA,2013J,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,-103.0,,99.0,4104.0,5.0,5.0,0.0,72.6
AAA,2013J,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,-107.0,,75.0,1944.0,5.0,5.0,0.0,78.0
AAA,2013J,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,-100.0,,69.0,1150.0,5.0,5.0,0.0,76.6
AAA,2013J,M,Ireland,Post Graduate Qualification,,35-55,0,60,N,Pass,-109.0,,106.0,4777.0,5.0,5.0,0.0,79.6
AAA,2013J,M,South Region,HE Qualification,80-90%,35-55,0,60,N,Withdrawn,5.0,175.0,43.0,465.0,3.0,3.0,0.0,60.0
AAA,2013J,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,-107.0,,50.0,733.0,5.0,5.0,0.0,53.4
AAA,2013J,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass,-110.0,,68.0,998.0,5.0,5.0,0.0,63.4
AAA,2013J,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,-43.0,,89.0,2343.0,3.0,3.0,0.0,81.0
AAA,2013J,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,-26.0,,92.0,3553.0,5.0,5.0,0.0,77.6
AAA,2013J,F,North Region,Post Graduate Qualification,,35-55,0,60,N,Pass,-29.0,,39.0,757.0,5.0,5.0,0.0,71.8
AAA,2013J,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,Pass,-68.0,,86.0,1358.0,5.0,5.0,0.0,72.8
AAA,2013J,M,Wales,HE Qualification,0-10%,0-35,0,60,N,Pass,-68.0,,73.0,1886.0,5.0,5.0,0.0,62.4
AAA,2013J,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,-32.0,,64.0,1108.0,5.0,5.0,0.0,74.2
AAA,2013J,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,Pass,-99.0,,35.0,284.0,5.0,5.0,0.0,61.8
AAA,2013J,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,-82.0,,75.0,2041.0,5.0,5.0,0.0,71.4
AAA,2013J,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,Pass,-31.0,,64.0,1321.0,5.0,5.0,0.0,69.6
AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn,-197.0,135.0,51.0,1011.0,3.0,3.0,0.0,81.0
AAA,2013J,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,Pass,-75.0,,47.0,520.0,5.0,5.0,0.0,67.4
AAA,2013J,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,-96.0,,85.0,2732.0,5.0,5.0,0.0,84.4
AAA,2013J,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,180,N,Withdrawn,-29.0,30.0,8.0,57.0,0.0,0.0,0.0,0.0
AAA,2013J,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Y,Withdrawn,-32.0,144.0,28.0,287.0,2.0,2.0,0.0,61.5
AAA,2013J,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,-195.0,,86.0,5528.0,5.0,5.0,0.0,80.2
AAA,2013J,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,Pass,-61.0,,74.0,1823.0,5.0,5.0,0.0,72.6
AAA,2013J,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,N,Withdrawn,-110.0,129.0,21.0,143.0,1.0,1.0,0.0,45.0
AAA,2013J,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,-37.0,,84.0,2121.0,5.0,5.0,0.0,73.6
AAA,2013J,F,South Region,HE Qualification,80-90%,35-55,0,60,N,Pass,-67.0,,122.0,5645.0,5.0,5.0,0.0,68.8
AAA,2013J,M,South West Region,HE Qualification,60-70%,0-35,0,120,N,Pass,-36.0,,48.0,452.0,5.0,5.0,0.0,54.4
AAA,2013J,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Fail,-132.0,,53.0,597.0,5.0,5.0,0.0,50.0
AAA,2013J,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,-92.0,,40.0,611.0,4.0,4.0,0.0,73.75
AAA,2013J,F,North Region,Lower Than A Level,80-90%,0-35,0,90,N,Withdrawn,-138.0,58.0,17.0,155.0,1.0,1.0,0.0,52.0
AAA,2013J,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,-174.0,158.0,70.0,1864.0,3.0,3.0,0.0,72.0
AAA,2013J,F,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,Pass,-44.0,,31.0,270.0,5.0,5.0,0.0,50.0
AAA,2013J,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,Pass,-16.0,,59.0,1529.0,5.0,5.0,0.0,67.0
AAA,2013J,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,-54.0,,96.0,4003.0,5.0,5.0,0.0,79.8
AAA,2013J,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn,-64.0,191.0,44.0,908.0,2.0,2.0,0.0,80.0
AAA,2013J,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,-52.0,,62.0,1405.0,5.0,5.0,0.0,70.6
AAA,2013J,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,Withdrawn,-46.0,123.0,58.0,1185.0,2.0,2.0,0.0,66.5
AAA,2013J,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,-64.0,,41.0,466.0,5.0,5.0,0.0,71.8
AAA,2013J,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,-117.0,,75.0,1510.0,5.0,5.0,0.0,69.4
AAA,2013J,F,West Midlands Region,Lower Than A Level,10-20,35-55,0,60,N,Pass,-32.0,,47.0,745.0,5.0,5.0,0.0,66.4
AAA,2013J,M,Ireland,HE Qualification,,35-55,0,60,N,Pass,-50.0,,84.0,1939.0,5.0,5.0,0.0,69.6
AAA,2013J,F,Ireland,A Level or Equivalent,,35-55,0,60,N,Pass,-45.0,,85.0,1782.0,5.0,5.0,0.0,61.4
AAA,2013J,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,Pass,-162.0,,93.0,6318.0,5.0,5.0,0.0,80.4
AAA,2013J,M,North Region,HE Qualification,,35-55,0,60,N,Pass,-195.0,,117.0,4447.0,5.0,5.0,0.0,82.4
AAA,2013J,M,North Western Region,HE Qualification,70-80%,35-55,0,60,N,Pass,-92.0,,60.0,2016.0,5.0,5.0,0.0,78.2
AAA,2013J,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,N,Fail,-57.0,,17.0,138.0,5.0,5.0,0.0,37.6
AAA,2013J,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,Pass,-64.0,,83.0,2012.0,5.0,5.0,0.0,53.4
AAA,2013J,F,South West Region,A Level or Equivalent,80-90%,35-55,0,120,N,Withdrawn,-39.0,60.0,37.0,487.0,1.0,1.0,0.0,76.0
AAA,2013J,F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,-128.0,,83.0,1975.0,5.0,5.0,0.0,54.0
AAA,2013J,M,London Region,A Level or Equivalent,10-20,0-35,0,180,N,Pass,-32.0,,69.0,964.0,5.0,5.0,0.0,49.0
AAA,2013J,M,South West Region,HE Qualification,80-90%,35-55,0,170,N,Pass,-74.0,,90.0,1312.0,5.0,5.0,0.0,59.8
AAA,2013J,M,London Region,HE Qualification,10-20,0-35,0,120,N,Fail,-12.0,,36.0,427.0,1.0,1.0,0.0,74.0
AAA,2013J,M,Scotland,HE Qualification,30-40%,35-55,0,60,N,Pass,-109.0,,133.0,2136.0,5.0,5.0,0.0,76.0
AAA,2013J,M,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Distinction,-136.0,,97.0,8562.0,5.0,5.0,0.0,89.2
AAA,2013J,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,120,N,Withdrawn,-57.0,60.0,41.0,1434.0,1.0,1.0,0.0,76.0
AAA,2013J,M,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-180.0,,75.0,1541.0,5.0,5.0,0.0,79.4
AAA,2013J,F,South West Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass,-62.0,,86.0,3219.0,5.0,5.0,0.0,68.4
AAA,2013J,M,London Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn,-45.0,185.0,75.0,1905.0,1.0,1.0,0.0,50.0
AAA,2013J,M,London Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,-54.0,,42.0,534.0,5.0,5.0,0.0,54.4
AAA,2013J,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn,-73.0,166.0,49.0,1418.0,3.0,3.0,0.0,66.67
AAA,2013J,M,South West Region,HE Qualification,80-90%,35-55,0,60,N,Pass,-68.0,,106.0,1665.0,5.0,5.0,0.0,72.2
AAA,2013J,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,Y,Fail,-51.0,,35.0,333.0,3.0,3.0,0.0,56.67
AAA,2013J,F,London Region,A Level or Equivalent,10-20,35-55,0,60,N,Distinction,-169.0,,86.0,2953.0,5.0,5.0,0.0,83.6
AAA,2013J,M,Ireland,HE Qualification,,0-35,0,180,N,Fail,-172.0,,59.0,1205.0,5.0,5.0,0.0,62.6
AAA,2013J,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,-31.0,,24.0,227.0,5.0,5.0,0.0,72.4
AAA,2013J,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,-108.0,,45.0,445.0,5.0,5.0,0.0,61.8
AAA,2013J,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-165.0,,45.0,614.0,5.0,5.0,0.0,66.0
AAA,2013J,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,-58.0,,52.0,1215.0,5.0,5.0,0.0,78.0
AAA,2013J,M,London Region,A Level or Equivalent,40-50%,0-35,0,240,N,Pass,-29.0,,67.0,1839.0,4.0,4.0,0.0,67.75
AAA,2013J,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,240,N,Withdrawn,-79.0,109.0,24.0,190.0,1.0,1.0,0.0,65.0
AAA,2013J,M,Scotland,Post Graduate Qualification,90-100%,0-35,0,60,N,Pass,2.0,,56.0,732.0,5.0,5.0,0.0,78.0
AAA,2013J,M,South Region,HE Qualification,90-100%,55<=,0,60,N,Pass,-151.0,,92.0,1935.0,5.0,5.0,0.0,79.2
AAA,2013J,M,London Region,HE Qualification,80-90%,0-35,0,80,N,Pass,-45.0,,33.0,321.0,5.0,5.0,0.0,75.8
AAA,2013J,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-47.0,,48.0,427.0,5.0,5.0,0.0,58.4
AAA,2013J,M,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,-50.0,,77.0,1892.0,5.0,5.0,0.0,78.8
AAA,2013J,F,East Midlands Region,HE Qualification,60-70%,35-55,0,60,N,Fail,-31.0,,77.0,1829.0,5.0,5.0,0.0,58.6
AAA,2013J,M,London Region,HE Qualification,20-30%,35-55,0,60,N,Pass,-36.0,,82.0,658.0,5.0,5.0,0.0,77.4
AAA,2013J,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,-16.0,,50.0,1174.0,5.0,5.0,0.0,55.6
AAA,2013J,M,North Western Region,Lower Than A Level,20-30%,0-35,0,90,N,Pass,-198.0,,64.0,1969.0,5.0,5.0,0.0,78.4
AAA,2013J,M,Wales,Lower Than A Level,20-30%,35-55,0,60,N,Pass,-103.0,,77.0,2580.0,5.0,5.0,0.0,71.4
AAA,2013J,M,North Western Region,HE Qualification,10-20,0-35,0,120,N,Pass,-117.0,,79.0,1481.0,5.0,5.0,0.0,76.8
AAA,2013J,F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,-68.0,,63.0,844.0,5.0,5.0,0.0,58.8
AAA,2013J,F,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,-172.0,,85.0,4963.0,5.0,5.0,0.0,64.8
AAA,2013J,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,N,Withdrawn,-186.0,170.0,35.0,426.0,3.0,3.0,0.0,57.5
AAA,2013J,M,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,-145.0,,49.0,1066.0,5.0,5.0,0.0,71.0
AAA,2013J,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,-191.0,,71.0,2407.0,5.0,5.0,0.0,76.6
AAA,2013J,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,90,N,Fail,-33.0,,88.0,3210.0,5.0,5.0,0.0,74.6
AAA,2013J,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,180,N,Withdrawn,-17.0,187.0,14.0,188.0,2.0,2.0,0.0,43.0
AAA,2013J,M,Scotland,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,-68.0,,93.0,3348.0,5.0,5.0,0.0,76.4
AAA,2013J,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn,-108.0,177.0,63.0,2016.0,3.0,3.0,0.0,67.67
AAA,2013J,M,London Region,Lower Than A Level,40-50%,0-35,0,60,N,Distinction,-138.0,,57.0,1183.0,5.0,5.0,0.0,79.2
AAA,2013J,F,Scotland,A Level or Equivalent,30-40%,0-35,0,150,N,Pass,-74.0,,45.0,492.0,5.0,5.0,0.0,73.4
AAA,2013J,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Fail,-64.0,,24.0,130.0,5.0,5.0,0.0,55.4
AAA,2013J,M,North Western Region,HE Qualification,30-40%,0-35,0,60,N,Fail,-50.0,,12.0,59.0,0.0,0.0,0.0,0.0
AAA,2013J,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,-107.0,,69.0,1961.0,5.0,5.0,0.0,60.6
AAA,2013J,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,-8.0,,76.0,1046.0,5.0,5.0,0.0,71.0
AAA,2013J,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-52.0,,53.0,483.0,5.0,5.0,0.0,67.8
AAA,2013J,M,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-96.0,,65.0,1740.0,5.0,5.0,0.0,70.4
AAA,2013J,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,-141.0,,37.0,652.0,5.0,5.0,0.0,75.0
AAA,2013J,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,-132.0,,99.0,5231.0,5.0,5.0,0.0,83.6
AAA,2013J,F,South East Region,A Level or Equivalent,90-100%,35-55,0,180,N,Withdrawn,-162.0,-121.0,0.0,0.0,0.0,0.0,0.0,0.0
AAA,2013J,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,-27.0,,35.0,187.0,4.0,4.0,0.0,46.75
AAA,2013J,M,South East Region,HE Qualification,90-100%,55<=,0,60,N,Pass,-80.0,,85.0,1775.0,5.0,5.0,0.0,78.2
AAA,2013J,M,South East Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,-145.0,,52.0,865.0,5.0,5.0,0.0,52.8
AAA,2013J,M,South East Region,A Level or Equivalent,40-50%,35-55,0,240,N,Fail,-17.0,,50.0,709.0,5.0,5.0,0.0,50.2
AAA,2013J,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,Distinction,-115.0,,91.0,2152.0,5.0,5.0,0.0,86.8
AAA,2013J,F,South East Region,HE Qualification,80-90%,0-35,0,60,N,Pass,-32.0,,44.0,514.0,5.0,5.0,0.0,80.8
AAA,2013J,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,-59.0,,55.0,1997.0,5.0,5.0,0.0,78.8
AAA,2013J,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Fail,-83.0,,42.0,513.0,3.0,3.0,0.0,58.67
AAA,2013J,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,Fail,-18.0,,17.0,146.0,1.0,1.0,0.0,64.0
AAA,2013J,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,Y,Pass,-66.0,,81.0,1277.0,5.0,5.0,0.0,78.0
AAA,2013J,F,Wales,Lower Than A Level,80-90%,0-35,0,120,N,Withdrawn,-54.0,-3.0,13.0,68.0,0.0,0.0,0.0,0.0
AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,35-55,0,120,N,Pass,-107.0,,63.0,987.0,5.0,5.0,0.0,58.2
AAA,2013J,M,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,-58.0,,68.0,1220.0,5.0,5.0,0.0,82.0
AAA,2013J,F,London Region,A Level or Equivalent,10-20,0-35,0,60,N,Pass,-123.0,,83.0,2742.0,5.0,5.0,0.0,62.6
AAA,2013J,F,East Midlands Region,HE Qualification,10-20,0-35,0,60,N,Pass,-31.0,,69.0,1081.0,5.0,5.0,0.0,81.2
AAA,2013J,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,-107.0,,74.0,1476.0,4.0,4.0,0.0,60.0
AAA,2013J,M,South West Region,A Level or Equivalent,60-70%,55<=,0,120,N,Pass,-121.0,,84.0,2230.0,5.0,5.0,0.0,59.2
AAA,2013J,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,Distinction,-79.0,,111.0,12882.0,5.0,5.0,0.0,87.8
AAA,2013J,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,-59.0,,30.0,281.0,5.0,5.0,0.0,61.8
AAA,2013J,F,East Anglian Region,HE Qualification,80-90%,0-35,0,120,N,Pass,-100.0,,66.0,1281.0,5.0,5.0,0.0,66.6
AAA,2013J,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,-47.0,,104.0,6589.0,5.0,5.0,0.0,78.4
AAA,2013J,M,South Region,HE Qualification,90-100%,55<=,0,60,N,Pass,-67.0,,102.0,10083.0,5.0,5.0,0.0,80.4
AAA,2013J,M,East Anglian Region,HE Qualification,40-50%,35-55,0,60,N,Pass,-32.0,,80.0,1901.0,5.0,5.0,0.0,80.4
AAA,2013J,F,South West Region,A Level or Equivalent,10-20,35-55,0,60,N,Pass,-165.0,,81.0,1961.0,5.0,5.0,0.0,57.6
AAA,2013J,M,South East Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-32.0,,23.0,133.0,5.0,5.0,0.0,61.2
AAA,2013J,F,South Region,HE Qualification,90-100%,35-55,0,60,N,Withdrawn,-67.0,53.0,109.0,2376.0,1.0,1.0,0.0,84.0
AAA,2013J,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,-64.0,,69.0,1655.0,5.0,5.0,0.0,74.4
AAA,2013J,M,Scotland,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,-103.0,,39.0,301.0,5.0,5.0,0.0,65.8
AAA,2013J,M,Scotland,HE Qualification,80-90%,0-35,0,60,N,Pass,-53.0,,45.0,648.0,5.0,5.0,0.0,74.4
AAA,2013J,F,London Region,A Level or Equivalent,50-60%,0-35,0,150,N,Fail,-32.0,,30.0,332.0,2.0,2.0,0.0,53.0
AAA,2013J,F,South West Region,A Level or Equivalent,0-10%,0-35,0,240,Y,Withdrawn,-192.0,65.0,23.0,303.0,1.0,1.0,0.0,36.0
AAA,2013J,F,South East Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn,-196.0,160.0,57.0,2286.0,3.0,3.0,0.0,86.33
AAA,2013J,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-110.0,,66.0,1316.0,5.0,5.0,0.0,68.2
AAA,2013J,M,North Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,-57.0,,28.0,333.0,5.0,5.0,0.0,49.8
AAA,2013J,M,East Anglian Region,Lower Than A Level,40-50%,0-35,0,180,N,Fail,48.0,,25.0,201.0,5.0,5.0,0.0,64.2
AAA,2013J,F,West Midlands Region,HE Qualification,70-80%,0-35,0,60,N,Withdrawn,-71.0,51.0,37.0,880.0,1.0,1.0,0.0,75.0
AAA,2013J,M,Scotland,Lower Than A Level,50-60%,55<=,0,60,N,Pass,-81.0,,74.0,1950.0,5.0,5.0,0.0,77.2
AAA,2013J,M,Yorkshire Region,HE Qualification,0-10%,0-35,0,60,N,Pass,-60.0,,62.0,838.0,5.0,5.0,0.0,60.4
AAA,2013J,M,Ireland,HE Qualification,70-80%,35-55,0,120,N,Pass,-49.0,,104.0,3644.0,5.0,5.0,0.0,78.4
AAA,2013J,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail,-12.0,,14.0,65.0,5.0,5.0,0.0,49.2
AAA,2013J,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,180,Y,Pass,-37.0,,50.0,547.0,5.0,5.0,0.0,78.0
AAA,2013J,M,Yorkshire Region,A Level or Equivalent,30-40%,0-35,0,60,N,Distinction,-18.0,,79.0,2219.0,5.0,5.0,0.0,80.4
AAA,2013J,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,120,N,Pass,-75.0,,34.0,569.0,5.0,5.0,0.0,82.4
AAA,2013J,F,Scotland,HE Qualification,50-60%,35-55,0,120,N,Fail,-44.0,,17.0,164.0,0.0,0.0,0.0,0.0
AAA,2013J,M,North Western Region,HE Qualification,80-90%,35-55,0,60,N,Pass,-49.0,,50.0,761.0,5.0,5.0,0.0,73.8
AAA,2013J,M,South Region,HE Qualification,90-100%,35-55,0,120,N,Withdrawn,-32.0,5.0,23.0,198.0,0.0,0.0,0.0,0.0
AAA,2013J,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail,-38.0,,23.0,166.0,3.0,3.0,0.0,57.0
AAA,2013J,M,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Fail,-129.0,,47.0,821.0,4.0,4.0,0.0,69.0
AAA,2013J,F,London Region,A Level or Equivalent,0-10%,0-35,0,120,N,Pass,-38.0,,72.0,891.0,5.0,5.0,0.0,56.4
AAA,2013J,M,East Anglian Region,Lower Than A Level,10-20,35-55,0,60,N,Pass,-52.0,,85.0,2129.0,5.0,5.0,0.0,70.0
AAA,2013J,M,South West Region,HE Qualification,40-50%,0-35,0,60,N,Pass,-4.0,,63.0,1465.0,5.0,5.0,0.0,76.8
AAA,2013J,F,South West Region,A Level or Equivalent,50-60%,0-35,0,120,Y,Pass,-123.0,,46.0,437.0,5.0,5.0,0.0,50.4
AAA,2013J,M,Wales,HE Qualification,50-60%,35-55,0,120,N,Fail,-60.0,,27.0,292.0,5.0,5.0,0.0,55.6
AAA,2013J,M,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,180,N,Pass,-19.0,,65.0,677.0,5.0,5.0,0.0,66.4
AAA,2013J,M,North Region,HE Qualification,,0-35,0,60,N,Distinction,-87.0,,60.0,2342.0,5.0,5.0,0.0,87.0
AAA,2013J,F,South Region,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,-64.0,,85.0,2333.0,5.0,5.0,0.0,72.8
AAA,2013J,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,-155.0,,55.0,1062.0,5.0,5.0,0.0,67.8
